Date,wml_2x3
1991-02-01,-0.0012083539403805466
1991-02-02,-0.0014180600101999508
1991-02-04,-0.0008956563962043695
1991-02-05,-0.0003735927515683968
1991-02-06,-0.005472116721698117
1991-02-07,0.0032341051394112474
1991-02-08,-0.0023816993690636834
1991-02-09,-0.003964355453775159
1991-02-11,0.0026675930125104053
1991-02-12,-0.011046470466813951
1991-02-13,0.001936942099741823
1991-02-18,-0.006861998465262253
1991-02-19,-0.011260877659100554
1991-02-20,-0.008108042441805796
1991-02-21,-0.004872299285508808
1991-02-22,-0.003502955870233415
1991-02-23,-0.008044631621592746
1991-02-25,0.0012778530902201046
1991-02-26,0.011649910680572695
1991-02-27,0.007854667868920417
1991-02-28,-0.0004534130183911911
1991-03-02,-0.00672866584448939
1991-03-04,0.0017067231180045717
1991-03-05,-0.0005855518700494944
1991-03-06,-0.012505663057486571
1991-03-07,-0.001222539097330222
1991-03-08,-0.008896155389882976
1991-03-09,0.007057088513244991
1991-03-11,-0.015067642476997711
1991-03-12,-0.002832690651419667
1991-03-13,-0.0029396660391182716
1991-03-14,-0.007644906515404004
1991-03-15,-0.007914635252305624
1991-03-16,0.0008718769756351219
1991-03-18,0.01523296438610705
1991-03-19,0.000323944513444252
1991-03-20,0.00011276547507821366
1991-03-21,-0.0031010600800499555
1991-03-22,0.003201960970468265
1991-03-23,-0.002477225962442542
1991-03-25,-0.007768064820570464
1991-03-27,0.0010336327337376328
1991-03-28,0.0016161980908370177
1991-03-29,0.00019733724126180796
1991-03-30,0.007133139627151341
1991-04-01,-0.002594709703015674
1991-04-02,0.0018496003692548557
1991-04-03,-0.00339700329958581
1991-04-04,-0.0002770932365753209
1991-04-06,0.0014771985408947308
1991-04-08,-0.0035184997242350136
1991-04-09,0.0015968054174684831
1991-04-10,-0.0018679813615215535
1991-04-11,-0.0006627219196106982
1991-04-12,-0.004181544651685687
1991-04-13,-0.0026679589408099558
1991-04-15,2.8176861758322236e-05
1991-04-16,0.0005426887100136168
1991-04-17,-0.003483464924158741
1991-04-18,0.0012516885647802511
1991-04-19,0.0037917807770018186
1991-04-20,-0.001379432634602884
1991-04-22,0.002213190169208068
1991-04-23,0.006135971151087771
1991-04-24,0.002922957868878695
1991-04-25,0.0011573179086504237
1991-04-26,0.004641641341556646
1991-04-27,0.00831700334496388
1991-04-29,-0.0091344608153906
1991-04-30,0.00047545582550018173
1991-05-01,0.00034206555477006573
1991-05-02,-0.0003571518152937214
1991-05-03,-0.00043029512416203897
1991-05-04,0.00013303260433211728
1991-05-06,0.00027793123013580834
1991-05-07,0.0009672994215382258
1991-05-08,0.00037206039857029527
1991-05-09,-4.1060650097346496e-05
1991-05-10,-0.0004319103469435648
1991-05-11,0.003145379547462912
1991-05-13,0.0022700933326559314
1991-05-14,-9.975596116673646e-05
1991-05-15,-0.0004938409976026348
1991-05-16,0.0005598614263047086
1991-05-17,-0.0002980893606259749
1991-05-18,-0.0021946575068644836
1991-05-20,0.0002790794027618948
1991-05-22,0.0007801583944149204
1991-05-23,0.0020284332169369645
1991-05-24,0.0009111500502130276
1991-05-25,0.0009979629940017887
1991-05-27,0.002601804869394486
1991-05-28,-0.002748019689120529
1991-05-29,0.0007627544466113356
1991-05-30,0.003734848904170418
1991-05-31,-0.001493220408114393
1991-06-01,0.00024835893868191405
1991-06-03,0.0009087490551438204
1991-06-04,0.0020364031550303974
1991-06-05,-0.004590142545329301
1991-06-07,0.003914900926834275
1991-06-08,-0.0018060742041983158
1991-06-10,-0.0023370086175267812
1991-06-11,0.002477400189784651
1991-06-12,-0.002353913366943128
1991-06-13,0.00011706606891848104
1991-06-14,-0.0022522342117182736
1991-06-15,-0.00016007790788175047
1991-06-17,0.0023994336414350226
1991-06-18,0.0005898994406959845
1991-06-19,0.0003373589125551524
1991-06-21,0.0010789440867056133
1991-06-22,0.005293595957248154
1991-06-24,-0.0024646772247010063
1991-06-25,-0.0018226759037595075
1991-06-26,-0.005078990548253004
1991-06-27,0.0017658240711653228
1991-06-28,0.0034232434414442903
1991-06-29,-0.0015613493430608472
1991-07-01,0.0007994428687101429
