month,rmrf,smb,hml,wml,wml_star,rv_ann,sigma_hat,scale
2005-01-31,0.0596991498369687,,,,,,,
2005-02-28,0.083376585904195,,,,,,,
2005-03-31,-0.048154955938475,,,,,,,
2005-04-30,-0.0563588222507055,,,,,,,
2005-05-31,0.068570367153983,,,,,,,
2005-06-30,0.0422793358600686,,,,,,,
2005-07-31,0.1039013157284713,,,,,,,
2005-08-31,-0.0289749870643261,,,,,,,
2005-09-30,0.1277411905984469,,,,,,,
2005-10-31,-0.043323592487668,,,,,,,
2005-11-30,0.1308597306999017,,,,,,,
2005-12-31,0.058859198883185,,,,,,,
2006-01-31,0.0137112709508062,,,,,,,
2006-02-28,-0.0179600915628409,,,0.0078361319287568,,,,
2006-03-31,-0.009380062289708,,,-0.0228999119921667,,13.928977492189173,,
2006-04-30,0.0444186736820915,,,-0.0484623694173474,,20.20485051924647,,
2006-05-31,-0.0729822215017762,,,-0.0214907564055656,,23.088770013132493,,
2006-06-30,-0.0185680981762106,,,-0.0173965888078575,,30.985761879209857,,
2006-07-31,-0.001550901768784,-0.0109218978646961,0.0154049987548714,0.0409613413801636,,13.298706293661336,,
2006-08-31,0.0435660694306083,0.0214961035244938,0.0177679252569866,-0.0025120788997259,,21.436473545711255,,
2006-09-30,0.0175870493372103,0.0228416646980789,-0.0233937591729281,-0.0127388215506247,-0.007185912959923649,16.920632373493174,0.061409834149924805,0.5640955822613952
2006-10-31,-0.0062397210109741,-0.0138014170115872,-0.0301773337877441,-0.0120406207715417,-0.006690274183428789,12.82444057726583,0.062344132270797784,0.5556419648429933
2006-11-30,0.0509995745228419,0.0469047486641192,-0.0104714458444097,-0.0393579681511768,-0.02262114525275013,12.649611253550727,0.06027104265397728,0.574753888865926
2006-12-31,-0.0018461325830165,-0.0224305777565569,0.0045789775382687,0.0175772530695904,0.011027500446935038,15.240779672403852,0.05521594947200989,0.6273733673444807
2007-01-31,-0.0505148850869888,0.043515593060762,0.0127520026412684,0.0184576961641806,0.013884416528813864,15.393712426966557,0.04605115019516218,0.7522291192417752
2007-02-28,0.0422210965817626,-0.0073743557699809,-0.0096025795469096,0.0674270142463913,0.04779625959087033,16.353529196187868,0.04886868364893055,0.7088592031706104
2007-03-31,0.0308177981140702,0.0559903769767264,-0.0195015263430469,0.0274728946589675,0.020696690126314782,17.762286995510305,0.045982665914119446,0.7533494516406599
2007-04-30,0.0617386976780471,0.0358363665924803,-0.0209063822958607,0.0406392629012697,0.02989726590906442,28.354264981529226,0.04708742822252993,0.7356744137239343
2007-05-31,0.1041184171517675,0.0422773349196421,-0.01917587604975,0.1417439612414728,0.08811548449512077,37.517007459043796,0.05572408616782879,0.6216524762208996
2007-06-30,0.027455920981692,0.0162994593808074,-0.0053465073201568,-0.0363035471120956,-0.018213905107666864,37.376883822646576,0.06904569637474588,0.5017114457556232
2007-07-31,0.1008539360534535,-0.0274530332048269,-0.0310840258407214,0.0549544275938391,0.024074998416653958,23.848533369864835,0.07907278666946925,0.4380902407825823
