Date,rmrf,wml
1990-01-03,,
1990-01-04,0.0225889719057838,
1990-01-05,-0.0143149362850405,
1990-01-06,-0.0022578111382617,
1990-01-08,0.0077304537523032,
1990-01-09,0.0009529893140991,
1990-01-10,-0.0090807506235548,
1990-01-11,-0.0093609323900062,
1990-01-12,7.792744498879825e-05,
1990-01-13,-0.010686412603187,
1990-01-15,-0.0115953417752209,
1990-01-16,0.0005198357624728,
1990-01-17,-0.0101283625505415,
1990-01-18,-0.0006337674717259,
1990-01-19,-0.0073999370754678,
1990-01-20,0.0057199097941634,
1990-01-22,0.0294496801654497,
1990-01-23,-0.0090918523491962,
1990-01-24,0.0151435992354641,
1990-01-25,0.0023350280185496,
1990-01-29,-0.0091038214008283,
1990-01-30,-0.0095900792006999,
1990-01-31,0.0084553067922661,
1990-02-01,-0.0113843231535566,
1990-02-02,-0.0083946968340122,
1990-02-03,-0.0040312116049253,
1990-02-05,0.0028115586658014,
1990-02-06,0.0109127997194735,
1990-02-07,-0.0074384513708005,
1990-02-08,0.0026152144756175,
1990-02-09,-0.0033833947100836,
1990-02-10,-0.0057876466552717,
1990-02-12,-0.0067163796372336,
1990-02-13,-0.0011485582922148,
1990-02-14,0.0072413654293665,
1990-02-15,0.0020355068474312,
1990-02-16,-0.0014339203720597,
1990-02-17,-0.0062232519840442,
1990-02-19,-0.0083906975918345,
1990-02-20,-0.0029773997709086,
1990-02-21,-0.00412468375895,
1990-02-22,0.0005736691507978,
1990-02-23,-0.0028957567834436,
1990-02-24,-0.006612935136351,
1990-02-26,-0.0138429612106891,
1990-02-27,0.0309550636796273,
1990-02-28,-0.0001801861700371,
1990-03-02,0.0252287156957839,
1990-03-03,-0.0047483442197143,
1990-03-05,-0.0177271458205651,
1990-03-06,-0.0081803280455027,
1990-03-07,-0.0112013664551085,
1990-03-08,-0.000113803704918,
1990-03-09,0.0049971968468947,
1990-03-12,-0.0026889482583483,
1990-03-13,-0.0103307796235216,
1990-03-14,-0.003966688158648,
1990-03-15,-0.0035077072298812,
1990-03-16,0.0081588387964269,
1990-03-17,-0.0082293051117519,
1990-03-19,0.0051202223269121,
1990-03-20,0.0130891969272314,
1990-03-21,-0.0005858196462425,
1990-03-22,-0.004675957061016,
1990-03-23,-0.0046539909350568,
1990-03-24,-0.0050836539166389,
1990-03-26,-0.003333036955714,
1990-03-27,-0.0076412722345942,
1990-03-28,-0.0108237946659379,
1990-03-29,0.0063449473779335,
1990-03-30,0.028192697983941,
1990-03-31,-0.0064535304490142,
1990-04-02,-0.0035918435968014,
1990-04-03,-0.0020946958497273,
1990-04-04,-0.0092777443380172,
1990-04-06,0.003536195804251,
1990-04-07,-0.0149760106304346,
1990-04-09,-0.0033151807926602,
1990-04-10,-0.0072556703941136,
1990-04-11,0.003467584111232,
1990-04-12,-0.0086301842250221,
1990-04-13,-0.0047660444904078,
1990-04-14,-0.0121617299592544,
1990-04-16,-0.0202700922869651,
1990-04-17,0.0255168465527747,
1990-04-18,-0.018594868589148,
1990-04-19,-0.0169431158804777,
1990-04-20,-0.0011219625666906,
1990-04-21,0.0163924010299379,
1990-04-23,-0.0075279809490533,
1990-04-24,-0.0081299365026361,
1990-04-25,-0.0175258744417327,
1990-04-26,-0.0382147278533144,
1990-04-27,0.031513071479237,
1990-04-28,-0.0384675041805371,
1990-04-30,-0.0442607692660007,
1990-05-01,0.043425898460978,
1990-05-03,0.0452643378478492,
1990-05-04,0.0422648089736648,
1990-05-07,0.0125262482591762,
1990-05-08,0.006447097252891,
1990-05-09,-0.0043762558416915,
1990-05-10,-0.0272548291212669,
1990-05-11,-0.0121143340610477,
1990-05-12,-0.0177163081721461,
1990-05-14,-0.019897270158714,
1990-05-15,-0.0129960215761628,
1990-05-16,0.044362166196959,
1990-05-17,0.0223639987616034,
1990-05-18,-0.0098861961378867,
1990-05-19,-0.0015640334860644,
1990-05-21,0.0068621056814464,
1990-05-22,0.0206212674175526,
1990-05-23,0.0024498111043368,
1990-05-24,-0.0029891143404107,
1990-05-25,0.005959176950507,
1990-05-26,-0.0085914502185851,
1990-05-28,-0.0069828567927436,
1990-05-29,0.0072358719957599,
1990-05-30,0.0072864781945983,
1990-05-31,0.0104206516720241,
1990-06-01,0.0072110019242285,
1990-06-02,0.0016360995532336,
1990-06-04,0.0120978553569509,
1990-06-05,-0.0080137816358957,
1990-06-07,-0.0048100357763178,
1990-06-08,0.0003305078114016,
1990-06-09,-0.0069604807381643,
1990-06-11,-0.01599007329005,
1990-06-12,-0.0019165627597634,
1990-06-13,-0.005765523738861,
1990-06-14,-0.0104326154530783,
1990-06-15,-0.0019923674152685,
1990-06-16,0.0045034806104999,
1990-06-18,-0.023058388403347,
1990-06-19,-0.0091179717038337,
1990-06-20,-0.011817584431473,
1990-06-21,0.0031267286808666,
1990-06-22,0.0059762271962551,
1990-06-23,-0.0003546895879941,
1990-06-25,-0.0101668646788965,
1990-06-26,-0.0046831933747557,
1990-06-27,0.0051474781792644,
1990-06-28,-0.0099662273475835,
1990-06-29,-0.0167619712417922,
1990-06-30,-0.0194684731306385,
1990-07-02,0.0094227558560108,
1990-07-03,0.0446565048564244,
1990-07-04,-0.0131210967694096,
1990-07-05,-0.0166705738634154,
1990-07-06,-0.0095895279909495,
1990-07-07,-0.0038251333707676,
