month,winner,loser,wml,n_win,n_los
2006-02-28,-0.011268844720543902,-0.019104976649300776,0.007836131928756873,152,153
2006-03-31,-0.05751293088994369,-0.034613018897776904,-0.022899911992166788,153,153
2006-04-30,-0.0027763789950839834,0.04568599042226351,-0.048462369417347495,154,154
2006-05-31,-0.09779493731926614,-0.0763041809137005,-0.021490756405565636,153,153
2006-06-30,-0.06872117880181994,-0.05132458999396239,-0.01739658880785755,154,154
2006-07-31,-0.020265707471171623,-0.06122704885133523,0.04096134138016361,154,154
2006-08-31,0.07807464494781158,0.08058672384753751,-0.0025120788997259336,156,156
2006-09-30,0.04157115684454582,0.0543099783951706,-0.01273882155062478,157,157
2006-10-31,-0.0418632634266064,-0.029822642655064624,-0.012040620771541777,157,157
2006-11-30,0.026518157761996397,0.06587612591317327,-0.03935796815117687,159,159
2006-12-31,-0.021427908017556896,-0.039005161087147355,0.01757725306959046,159,160
2007-01-31,-0.07037337866031612,-0.08883107482449681,0.018457696164180692,161,161
2007-02-28,0.0846320580340052,0.017205043787613894,0.0674270142463913,161,162
2007-03-31,0.09866938227953859,0.07119648762057107,0.027472894658967517,162,162
2007-04-30,0.12720547544807514,0.08656621254680541,0.040639262901269735,162,163
2007-05-31,0.2402219569714905,0.0984779957300177,0.14174396124147282,162,162
2007-06-30,0.031025603527022216,0.06732915063911782,-0.0363035471120956,162,162
2007-07-31,0.1123975543519875,0.05744312675814833,0.05495442759383917,163,163
2007-08-31,0.02140086851359224,-0.09433998753613149,0.11574085604972373,165,165
2007-09-30,0.039491317581192176,0.04737015081881091,-0.007878833237618732,165,165
2007-10-31,0.164757570331042,0.10547118299238134,0.05928638733866065,165,165
2007-11-30,-0.12939466305694458,-0.06658158294209227,-0.06281308011485232,166,166
2007-12-31,-0.08324935559844304,0.011369070417099447,-0.09461842601554249,167,167
2008-01-31,-0.2535453095721336,-0.11815058694439917,-0.13539472262773444,168,168
2008-02-29,0.2421586646700875,0.057501694279652016,0.1846569703904355,169,169
2008-03-31,-0.013731595185961676,0.00792447895926962,-0.021656074145231297,169,170
