month,winner,loser,wml,n_win,n_los
1991-02-28,0.04225396903775591,0.12397565686744794,-0.08172168782969202,72,72
1991-03-31,-0.050942615689576476,0.024219829855115727,-0.0751624455446922,72,72
1991-04-30,-0.01767759537630742,-0.024532119693804533,0.006854524317497113,73,73
1991-05-31,-0.05819815269945705,-0.07051362260015448,0.012315469900697429,74,74
1991-06-30,0.01764007282296043,0.003961964645656124,0.013678108177304305,74,74
1991-07-31,0.17753827689911272,0.11726176656216514,0.060276510336947586,75,75
1991-08-31,-0.03608360826228907,-0.09572779115059571,0.05964418288830664,75,75
1991-09-30,0.059543901826691004,-0.043596379622869996,0.103140281449561,75,75
1991-10-31,0.03192628598260039,-0.0325835194731412,0.06450980545574159,76,76
1991-11-30,-0.10324017258414064,-0.045256971394064816,-0.05798320119007583,76,76
1991-12-31,-0.052501108698326915,-0.13560900938840337,0.08310790069007645,76,76
1992-01-31,0.1477117042501792,0.1872141315826199,-0.03950242733244069,76,76
1992-02-29,-0.08582912185564673,-0.012764632679088561,-0.07306448917655817,77,77
1992-03-31,0.24742247221623237,-0.18565469843804416,0.43307717065427653,77,77
1992-04-30,-0.0745301364484684,0.2571242586784428,-0.3316543951269112,78,78
1992-05-31,0.056451254763495884,-0.044555111746142684,0.10100636650963857,78,78
1992-06-30,-0.1742872078275418,-0.042604388602617616,-0.1316828192249242,78,78
1992-07-31,-0.12942552397012574,-0.07243982017009343,-0.05698570380003232,78,78
1992-08-31,0.1510882371078197,0.0376414760817676,0.11344676102605211,78,78
1992-09-30,-0.09458000704514091,-0.05956834889217999,-0.03501165815296092,78,78
1992-10-31,0.07239196638269485,0.2155347934374543,-0.14314282705475945,78,78
1992-11-30,-0.02469549955365069,0.11309403791846395,-0.13778953747211464,78,78
1992-12-31,0.012020083576207208,0.12304880319156641,-0.1110287196153592,78,78
1993-01-31,0.06302496846746375,0.038923029262649456,0.024101939204814293,78,78
1993-02-28,-0.005137609935985554,-0.07053399811371941,0.06539638817773386,78,78
1993-03-31,0.006372434121781012,0.05279471360170618,-0.046422279479925166,79,79
1993-04-30,0.06414100277482082,0.08729861922301607,-0.02315761644819525,79,79
1993-05-31,0.09226988722979801,0.019622741752336248,0.07264714547746176,79,79
1993-06-30,-0.01206464142794439,0.03570843867762585,-0.04777308010557024,79,79
1993-07-31,-0.0129653455954708,-0.011786015718849296,-0.0011793298766215043,79,79
1993-08-31,-0.19406453260727596,-0.09670200758338188,-0.09736252502389409,79,79
1993-09-30,0.14409525098618792,0.06910439597583418,0.07499085501035374,79,79
1993-10-31,0.010412551297856343,0.04768145098588805,-0.03726889968803171,79,79
1993-11-30,-0.029811711763927606,0.08962078407226892,-0.11943249583619653,79,79
1993-12-31,-0.08263840004483558,0.09290616824959863,-0.1755445682944342,79,79
1994-01-31,0.07930716929423731,0.1238489697969154,-0.044541800502678086,79,79
1994-02-28,-0.08689813345787134,-0.03321629456785591,-0.05368183889001543,80,80
1994-03-31,-0.08180099356189585,0.1292639128529367,-0.21106490641483255,80,80
