Date,rmrf,smb,hml
1990-01-03,,,
1990-01-04,0.022588971905783895,,
1990-01-05,-0.014314936285040583,,
1990-01-06,-0.002257811138261743,,
1990-01-08,0.007730453752303272,,
1990-01-09,0.0009529893140991098,,
1990-01-10,-0.00908075062355487,,
1990-01-11,-0.009360932390006255,,
1990-01-12,7.792744498879825e-05,,
1990-01-13,-0.01068641260318704,,
1990-01-15,-0.01159534177522099,,
1990-01-16,0.0005198357624728825,,
1990-01-17,-0.010128362550541569,,
1990-01-18,-0.0006337674717259639,,
1990-01-19,-0.007399937075467829,,
1990-01-20,0.005719909794163496,,
1990-01-22,0.02944968016544971,,
1990-01-23,-0.009091852349196225,,
1990-01-24,0.015143599235464161,,
1990-01-25,0.0023350280185496994,,
1990-01-29,-0.009103821400828355,,
1990-01-30,-0.009590079200699923,,
1990-01-31,0.008455306792266163,,
1990-02-01,-0.011384323153556654,,
1990-02-02,-0.008394696834012264,,
1990-02-03,-0.004031211604925319,,
1990-02-05,0.0028115586658014214,,
1990-02-06,0.010912799719473587,,
1990-02-07,-0.0074384513708005825,,
1990-02-08,0.0026152144756175374,,
1990-02-09,-0.0033833947100836135,,
1990-02-10,-0.005787646655271721,,
1990-02-12,-0.006716379637233605,,
1990-02-13,-0.0011485582922148919,,
1990-02-14,0.007241365429366547,,
1990-02-15,0.0020355068474312873,,
1990-02-16,-0.0014339203720597272,,
1990-02-17,-0.006223251984044226,,
1990-02-19,-0.008390697591834534,,
1990-02-20,-0.0029773997709086632,,
1990-02-21,-0.004124683758950023,,
1990-02-22,0.0005736691507978211,,
1990-02-23,-0.002895756783443638,,
1990-02-24,-0.006612935136351001,,
1990-02-26,-0.013842961210689165,,
1990-02-27,0.030955063679627325,,
1990-02-28,-0.00018018617003714375,,
1990-03-02,0.025228715695783967,,
1990-03-03,-0.004748344219714352,,
1990-03-05,-0.017727145820565126,,
1990-03-06,-0.00818032804550278,,
1990-03-07,-0.011201366455108516,,
1990-03-08,-0.00011380370491808873,,
1990-03-09,0.004997196846894782,,
1990-03-12,-0.0026889482583483874,,
1990-03-13,-0.010330779623521665,,
