month,rmrf,smb,hml,wml,wml_star,rv_ann,sigma_hat,scale
1990-01-31,-0.011603270954328,,,,,,,
1990-02-28,-0.038018252614478,,,,,,,
1990-03-31,-0.0239122143814216,,,,,,,
1990-04-30,-0.1822809261903122,,,,,,,
1990-05-31,0.1591158250696909,,,,,,,
1990-06-30,-0.1152900294951249,,,,,,,
1990-07-31,-0.0387340670631828,,,,,,,
1990-08-31,-0.1104029100793466,,,,,,,
1990-09-30,-0.0094792146452326,,,,,,,
1990-10-31,0.148805109979055,,,,,,,
1990-11-30,0.015641317416877,,,,,,,
1990-12-31,-0.002355237278831,,,,,,,
1991-01-31,-0.0656301596926169,,,,,,,
1991-02-28,0.063526052886043,,,-0.081721687829692,,12.036536729962027,,
1991-03-31,-0.0181552297275424,,,-0.0751624455446922,,16.534086930150345,,
1991-04-30,-0.0221790423791838,,,0.0068545243174971,,14.570424108051258,,
1991-05-31,-0.053099492465876,,,0.0123154699006974,,6.5585087482833275,,
1991-06-30,-0.007396917691292,,,0.0136781081773043,,8.089075115952445,,
1991-07-31,0.1899314382802948,-0.1811979881810127,0.0469514192925004,0.0602765103369475,,13.79476626481643,,
1991-08-31,-0.0457037416047808,-0.082441404868384,0.0230724058559008,0.0596441828883066,0.05944794048600198,14.079527594572582,0.03475536891401732,0.9967097813600345
1991-09-30,0.0340318974854656,-0.0429142136890717,0.022562825644204,0.103140281449561,0.10583113433679572,12.484558193690726,0.03376023679554983,1.026089252903102
1991-10-31,-0.0111547937315935,-0.0542008633386624,-0.0847949714752794,0.0645098054557415,0.0677521011957049,22.33201397527724,0.03298326064101804,1.0502605102752613
1991-11-30,-0.0641615157910358,0.1291848598074585,-0.0031899118829405,-0.0579832011900758,-0.04691156834183106,23.448257357910038,0.04281666718746052,0.8090544740372195
1991-12-31,-0.0652530992964222,0.0178028410340658,-0.0162954812920923,0.0831079006900764,0.05135225790469311,23.628342592594855,0.05606262017641311,0.6178986291110213
1992-01-31,0.1424253840454052,0.1762921509615962,-0.0104881145059344,-0.0395024273324406,-0.022607188386484376,33.05866674567628,0.06052960677143683,0.5722987146138906
