Date,winner,loser,wml
2006-02-01,-0.049453891033564026,-0.02215664273493584,-0.027297248298628188
2006-02-02,0.008415963647855308,0.01469685995338554,-0.006280896305530232
2006-02-03,-0.04481773065325549,-0.025044077538654966,-0.019773653114600526
2006-02-06,0.002537391159298888,0.012959090374388693,-0.010421699215089805
2006-02-07,-0.007813350307872561,0.007169974719109863,-0.014983325026982424
2006-02-08,-0.011117179844311329,-0.014107625288095022,0.0029904454437836934
2006-02-09,-0.004165569647165097,0.0001659761116223944,-0.004331545758787491
2006-02-10,0.018663553737003104,-0.005034895428233852,0.023698449165236956
2006-02-13,-0.009438967083362265,0.0035371323580408558,-0.01297609944140312
2006-02-14,0.010644240529396463,0.0014937711049987847,0.009150469424397678
2006-02-15,-0.027653615039539624,-0.017816129700580427,-0.009837485338959197
2006-02-16,0.004142551694424721,-0.008001846251656411,0.012144397946081131
2006-02-17,0.006981906462844783,0.0076834847808079166,-0.0007015783179631337
2006-02-20,0.026298952381729395,0.012275413876372484,0.014023538505356911
2006-02-21,0.010217801673766456,0.008227003050980262,0.0019907986227861944
2006-02-22,-0.0002531113930263334,-0.006268596196728387,0.0060154848037020535
2006-02-23,0.03614030763913483,0.001618531656492362,0.03452177598264247
2006-02-24,0.004526626903395241,0.004730665131438024,-0.0002040382280427827
2006-02-27,0.012574552622564442,0.011876754672285153,0.0006977979502792893
2006-02-28,0.006511609311847833,-0.005939824260715754,0.012451433572563588
2006-03-02,-0.006713103387537284,0.0008238935739962905,-0.007536996961533575
2006-03-03,-0.0209322489865053,-0.02404251541586718,0.00311026642936188
2006-03-06,0.009386027386303071,0.007368928460759607,0.002017098925543464
2006-03-07,-0.02785768835852549,-0.017002919944469466,-0.010854768414056023
2006-03-08,0.006540269953740747,-0.00019791067681383952,0.006738180630554587
2006-03-09,0.011943991270318892,0.005079454440073393,0.006864536830245498
2006-03-10,0.012756930741037412,0.005552146218344917,0.007204784522692495
2006-03-13,0.01843940166887651,0.002944603068353735,0.015494798600522776
2006-03-14,-0.015648184816175126,-0.012717463551554595,-0.002930721264620531
2006-03-15,-0.016711950535645875,0.004310892480836181,-0.021022843016482055
2006-03-16,-0.014713838109762706,-0.0016976322878169674,-0.013016205821945738
2006-03-17,-0.0039156547540830314,0.0015217301608604354,-0.0054373849149434664
2006-03-20,0.007497133444651691,0.00944842600568901,-0.0019512925610373185
2006-03-21,-0.001929780793083729,-0.006289826032644995,0.0043600452395612666
2006-03-22,-0.026634135367472677,-0.016003604422686328,-0.010630530944786349
2006-03-23,-0.011444109645710243,-0.005699557824922397,-0.005744551820787846
2006-03-24,5.09316182519389e-05,-0.007520928605850886,0.0075718602241028245
2006-03-27,-0.009800482574953648,-0.0008900048425922524,-0.008910477732361395
2006-03-28,-0.00579257633711358,-0.0038732605007567905,-0.0019193158363567894
2006-03-29,0.00158872688580049,0.003923090203563986,-0.002334363317763496
2006-03-30,0.012832912244765297,0.0062057066055140105,0.006627205639251286
2006-03-31,0.02412234112901776,0.014501095188478249,0.009621245940539511
2006-04-03,0.019990768609323462,0.0031477605770485325,0.01684300803227493
2006-04-04,0.00912657310844158,0.0050477969303072195,0.00407877617813436
2006-04-05,0.003248984206026686,0.012217932475950604,-0.008968948269923917
2006-04-06,-0.00046585511942155483,0.016109112628002513,-0.016574967747424067
2006-04-07,0.01595251030764632,-0.0008940881697631822,0.016846598477409505
2006-04-10,0.0006102171993352344,0.00032527584750032245,0.000284941351834912
2006-04-11,-0.006304216898698111,-0.0034218527161159686,-0.0028823641825821427
2006-04-12,-0.002958691405631689,-0.005594816087491044,0.0026361246818593547
2006-04-13,0.02111562669141095,0.010262702120257223,0.010852924571153728
2006-04-14,0.009457083201572469,0.012815552522425291,-0.003358469320852823
2006-04-17,-0.0005367490121777383,-0.009336337125758695,0.008799588113580958
2006-04-18,-0.009290312675364567,0.005219734481060494,-0.01451004715642506
2006-04-19,-0.010043396750173949,0.005074769873492429,-0.015118166623666378
2006-04-20,-0.021703438934169927,0.00539525725347486,-0.027098696187644787
2006-04-21,0.0037556289588673583,0.007603100457985685,-0.0038474714991183264
2006-04-24,-0.008066516548996204,-0.0124269372171131,0.004360420668116897
2006-04-25,-0.0003285375909375873,-0.010165164868561092,0.009836627277623505
2006-04-26,-0.011081516217385512,0.004986581568612356,-0.016068097785997867
2006-04-27,-0.014685928466052796,0.007668043048639649,-0.022353971514692445
2006-04-28,0.0006302923997260888,-0.008662706958509875,0.009292999358235963
2006-05-02,-0.0016849205791999522,0.026681813500569883,-0.028366734079769834
2006-05-03,0.0027936387982135107,0.019918482094719157,-0.017124843296505647
2006-05-04,0.01309511431919809,-0.008622151489659183,0.021717265808857272
2006-05-08,0.003844042379676886,-0.012714106536781868,0.016558148916458754
2006-05-09,-0.01893270001243816,0.005254229619587236,-0.024186929632025393
2006-05-10,-0.0021809733297185768,0.004971898535176742,-0.0071528718648953184
2006-05-11,0.011383295164735721,0.016457165284565197,-0.005073870119829476
2006-05-12,-0.011304674358637646,-0.01235356236420838,0.0010488880055707344
2006-05-15,-0.01612945961825529,-0.01818379633646667,0.0020543367182113796
2006-05-16,-0.025452417757692244,-0.022269627129511308,-0.0031827906281809357
2006-05-17,0.019122120405365102,0.0027409551083223058,0.016381165297042796
2006-05-18,-0.03753695438032302,-0.01643264396700616,-0.02110431041331686
2006-05-19,0.019397137242639837,0.005275365301155374,0.014121771941484463
2006-05-22,-0.029098134325102002,-0.007289435410601544,-0.02180869891450046
2006-05-23,-0.005349179092600947,-0.01626606862947206,0.010916889536871113
2006-05-24,-0.011418915399046192,-0.007241136075303339,-0.004177779323742853
2006-05-25,-0.03443750958388956,-0.03170321869055897,-0.0027342908933305904
2006-05-26,0.01847780090607939,0.006830529605513921,0.011647271300565469
2006-05-29,0.009462273242881729,-0.0011080304113168023,0.010570303654198532
2006-05-30,-0.003664229481090982,-0.01105887353825543,0.007394644057164448
2006-06-01,-0.035511038711835946,-0.00560148639117036,-0.029909552320665587
2006-06-02,-0.007497005650661316,-0.0007572782285310635,-0.006739727422130252
2006-06-05,-0.0370783236305159,-0.013601474000512963,-0.023476849630002936
2006-06-07,-0.06192582399083901,-0.03650859881380743,-0.025417225177031585
2006-06-08,-0.009913547144283656,-0.04632813537846652,0.036414588234182865
2006-06-09,0.03133520361639172,0.024582715671395767,0.0067524879449959545
2006-06-12,0.01110415537812055,-0.0018511686735386606,0.01295532405165921
2006-06-13,-0.037037243333435846,-0.08076303363260541,0.043725790299169565
