month,rmrf,smb,hml
1990-01-31,-0.011603270954328004,,
1990-02-28,-0.038018252614478,,
1990-03-31,-0.02391221438142166,,
1990-04-30,-0.18228092619031222,,
1990-05-31,0.1591158250696909,,
1990-06-30,-0.1152900294951249,,
1990-07-31,-0.03873406706318283,,
1990-08-31,-0.11040291007934666,,
1990-09-30,-0.009479214645232603,,
1990-10-31,0.14880510997905505,,
1990-11-30,0.01564131741687702,,
1990-12-31,-0.002355237278831024,,
1991-01-31,-0.06563015969261699,,
1991-02-28,0.06352605288604307,,
1991-03-31,-0.018155229727542466,,
1991-04-30,-0.02217904237918389,,
1991-05-31,-0.053099492465876086,,
1991-06-30,-0.0073969176912920265,,
1991-07-31,0.1899314382802948,-0.18119798818101274,0.04695141929250046
1991-08-31,-0.045703741604780856,-0.08244140486838403,0.023072405855900868
1991-09-30,0.034031897485465645,-0.04291421368907178,0.022562825644204088
1991-10-31,-0.01115479373159356,-0.054200863338662475,-0.08479497147527948
1991-11-30,-0.0641615157910358,0.12918485980745853,-0.0031899118829405992
1991-12-31,-0.0652530992964222,0.01780284103406582,-0.01629548129209235
1992-01-31,0.14242538404540528,0.17629215096159623,-0.010488114505934454
1992-02-29,-0.10116317469432423,0.11642966493986107,-0.07067034429566443
1992-03-31,-0.008178380369818883,0.12856172773234387,-0.012520822177640833
1992-04-30,0.015283799067398851,-0.037946121211521855,0.11348794651255223
1992-05-31,-0.06876148006241745,0.12002582021543495,0.05333791226353268
1992-06-30,-0.034985370641356206,-0.1453533774426793,0.0733423399958848
1992-07-31,-0.07624996121120098,-0.008885055809730535,-0.019467732294718654
1992-08-31,0.1049138733060675,-0.014721891431611511,-0.006726842718063675
1992-09-30,-0.08764738613066825,-0.008774402596955277,-0.005127255024700683
1992-10-31,0.20086730476293124,-0.09968286989881803,-0.0031433914865051094
1992-11-30,0.07857339653520379,-0.015356548547534321,-0.026202944512482063
1992-12-31,0.020396184892617075,0.10028850011609403,-0.021849662554366933
1993-01-31,-5.371594095693322e-05,0.1330071802481343,-0.041462399286343876
1993-02-28,-0.03832731652820498,0.010059052500322574,0.007295092743362375
1993-03-31,0.03718050711309129,-0.04418408335815205,-0.014961709450703187
1993-04-30,0.08268708581425277,-0.01186478766257637,0.018662353050495017
1993-05-31,0.0415342893867543,0.05077042448198843,-0.0159616783121046
1993-06-30,-0.004766254774794754,0.07465682815914687,-0.015224346400797839
1993-07-31,-0.025141462267323167,0.034557459850491634,-0.004428584476155795
1993-08-31,-0.0881312457810588,-0.09301256277577141,0.031024913050597958
1993-09-30,0.08172358710998862,0.03669867722555864,-0.017510954889172536
1993-10-31,0.04288442659722458,0.07547458642513782,-1.532778027479864e-05
1993-11-30,0.08007095430343658,-0.071571656191732,0.013365269311667927
1993-12-31,0.07043670261524682,-0.12105218187719768,0.06236883437944907
1994-01-31,0.10453055099692277,-0.14872875037027133,0.050733911803465315
1994-02-28,-0.02154774668947168,-0.01715354801995561,0.0056512217072233195
1994-03-31,-0.05697748089674193,0.13335617407414002,-0.058441658786394735
