,dKR,dUS,D,p_le0,ci_lo,ci_hi,n_common
ENS,0.8615,-1.1524,2.0138,0.0008,0.7262,3.3829,292
HARX,1.3384,-1.1943,2.5327,0.0,1.3167,3.8469,292
