,Maximum,Minimum,Mean,Std dev,Kurtosis,Skewness,Sharpe,Info ratio
WML,52.184,-94.916,7.251,43.773,10.492,-1.165,0.166,
WML*,16.595,-20.074,4.025,15.499,2.435,-0.396,0.26,0.229
