,n,sharpe,skew,worst,worst_month
1991–2000,119,-0.37257503163905564,-1.1261128675957714,-94.91569037823943,1998-10
2001–2010,120,0.664379387626175,-0.9072450287638373,-53.3615634416067,2001-01
2011–2026,184,0.4024997749040392,0.2157092601292151,-26.04705667092113,2019-10
전체(1991–2026),423,0.16029121395694107,-1.1604092461131008,-94.91569037823943,1998-10
표본외 raw(2001–2026),293,0.5716368227247873,0.0068036977312593535,-46.61810585587574,2004-04
