Date,0
1990,1
1991,0
1992,4
1993,0
1994,0
1995,0
1996,12
1997,9
1998,103
1999,61
2000,27
2001,25
2002,77
2003,49
2004,76
2005,74
2006,12
2007,26
2008,30
2009,128
2010,120
2011,77
2012,88
2013,61
2014,44
2015,48
2016,19
2017,33
2018,25
2019,7
2020,20
2021,32
2022,30
2023,21
2024,15
2025,36
2026,20
